대여소_ID,시군구,시군구코드,,
290,강동구,11030,,
291,강동구,11030,,
292,강동구,11030,,
293,강동구,11030,,
294,강동구,11030,,
295,강동구,11030,,
296,강동구,11030,,
297,강동구,11030,,
298,강동구,11030,,
299,강동구,11030,,
300,강동구,11030,,
301,강동구,11030,,
302,강동구,11030,,
303,강동구,11030,,
304,강동구,11030,,
305,강동구,11030,,
306,강동구,11030,,
307,강동구,11030,,
308,강동구,11030,,
309,강동구,11030,,
310,강동구,11030,,
311,강동구,11030,,
312,강동구,11030,,
313,강동구,11030,,
314,강동구,11030,,
315,강동구,11030,,
316,강동구,11030,,
317,강동구,11030,,
318,강동구,11030,,
319,강동구,11030,,
320,강북구,11030,,
321,강북구,11030,,
322,강북구,11030,,
323,강북구,11030,,
324,강북구,11030,,
325,강북구,11030,,
326,강북구,11030,,
327,강북구,11030,,
328,강북구,11030,,
329,강북구,11030,,
330,강북구,11030,,
331,강북구,11030,,
332,강북구,11030,,
333,강북구,11030,,
334,강북구,11040,,
335,강북구,11040,,
336,강북구,11040,,
337,강북구,11040,,
338,강북구,11040,,
339,강북구,11040,,
340,강북구,11040,,
341,강북구,11040,,
342,강북구,11040,,
343,강북구,11040,,
344,강북구,11040,,
345,강북구,11040,,
346,강북구,11040,,
347,강북구,11040,,
348,강북구,11040,,
349,강북구,11040,,
350,강북구,11040,,
351,강북구,11040,,
352,강북구,11040,,
353,강북구,11040,,
354,강북구,11040,,
355,강북구,11040,,
356,강북구,11040,,
357,강북구,11040,,
358,강북구,11040,,
359,강북구,11040,,
360,강북구,11040,,
361,강북구,11040,,
362,강북구,11040,,
363,강북구,11040,,
364,강북구,11040,,
365,강북구,11040,,
366,강북구,11040,,
367,강북구,11040,,
368,강북구,11040,,
369,강북구,11040,,
370,강북구,11040,,
371,강북구,11040,,
372,강북구,11040,,
373,강북구,11040,,
374,강북구,11040,,
375,강북구,11040,,
376,강북구,11040,,
377,강북구,11040,,
378,강북구,11040,,
379,강북구,11040,,
380,강북구,11040,,
381,강북구,11040,,
382,강북구,11040,,
383,강북구,11040,,
384,강북구,11040,,
385,강북구,11040,,
386,강북구,11040,,
387,강북구,11040,,
388,강북구,11040,,
389,강북구,11040,,
390,강북구,11040,,
391,강북구,11040,,
392,강북구,11040,,
393,강서구,11040,,
394,강서구,11040,,
395,강서구,11040,,
396,강서구,11040,,
397,강서구,11040,,
398,강서구,11040,,
399,강서구,11040,,
400,강서구,11040,,
401,강서구,11040,,
402,강서구,11040,,
403,강서구,11040,,
404,강서구,11040,,
405,강서구,11040,,
406,강서구,11040,,
407,강서구,11040,,
408,강서구,11040,,
409,강서구,11040,,
410,강서구,11040,,
411,강서구,11040,,
412,강서구,11040,,
413,강서구,11040,,
414,강서구,11040,,
415,강서구,11040,,
416,강서구,11040,,
417,강서구,11040,,
418,강서구,11040,,
419,강서구,11040,,
420,강서구,11040,,
421,강서구,11040,,
422,강서구,11040,,
423,강서구,11040,,
424,강서구,11040,,
425,강서구,11040,,
426,강서구,11040,,
427,강서구,11040,,
428,강서구,11040,,
429,강서구,11040,,
430,강서구,11040,,
431,강서구,11040,,
432,강서구,11040,,
433,강서구,11040,,
434,강서구,11040,,
435,강서구,11040,,
436,강서구,11040,,
437,강서구,11040,,
438,강서구,11040,,
439,강서구,11040,,
440,강서구,11040,,
441,강서구,11040,,
442,강서구,11040,,
443,강서구,11040,,
444,강서구,11040,,
445,강서구,11040,,
446,강서구,11040,,
447,강서구,11050,,
448,강서구,11050,,
449,강서구,11050,,
450,강서구,11050,,
451,강서구,11050,,
452,강서구,11050,,
453,강서구,11050,,
454,강서구,11050,,
455,강서구,11050,,
456,강서구,11050,,
457,강서구,11050,,
458,강서구,11050,,
459,강서구,11050,,
460,강서구,11050,,
461,강서구,11050,,
462,강서구,11050,,
463,강서구,11050,,
464,강서구,11050,,
465,강서구,11050,,
466,강서구,11050,,
467,강서구,11050,,
468,강서구,11050,,
469,강서구,11050,,
470,강서구,11050,,
471,강서구,11050,,
472,강서구,11050,,
473,강서구,11050,,
474,강서구,11050,,
475,강서구,11050,,
476,강서구,11050,,
477,강서구,11050,,
478,강서구,11050,,
479,강서구,11050,,
480,강서구,11050,,
481,강서구,11050,,
482,강서구,11050,,
483,강서구,11050,,
484,강서구,11050,,
485,강서구,11050,,
486,강서구,11050,,
487,강서구,11050,,
488,강서구,11050,,
489,강서구,11050,,
490,강서구,11050,,
491,강서구,11050,,
492,강서구,11050,,
493,강서구,11050,,
494,강서구,11050,,
495,강서구,11050,,
496,강서구,11050,,
497,강서구,11050,,
498,강서구,11050,,
499,강서구,11050,,
500,강서구,11050,,
501,강서구,11050,,
502,강서구,11050,,
503,강서구,11050,,
504,강서구,11050,,
505,강서구,11050,,
506,강서구,11050,,
507,강서구,11050,,
508,강서구,11050,,
509,강서구,11050,,
510,강서구,11050,,
511,강서구,11050,,
512,강서구,11050,,
513,강서구,11050,,
514,강서구,11050,,
515,강서구,11050,,
