,장소명,위도,경도,주제
117,한경공원,33.34047,126.182547,공원
118,망동산소공원,33.345261,126.184909,공원
119,별내린전망대,33.247568,126.417003,공원
120,한라산전망대,33.248601,126.415791,공원
121,동난드르쉼터,33.234168,126.376095,공원
122,창고천생태공원,33.256524,126.354984,공원
123,대섭공원,33.477791,126.370452,공원
124,도련동네체육시설,33.512524,126.596082,공원
125,오당빌레쉼터,33.453694,126.351842,공원
126,애월한담공원,33.459742,126.311095,공원
127,귀덕궤물동산,33.442386,126.289498,공원
128,남도리쉼터,33.47735,126.353779,공원
129,도치돌소공원,33.420881,126.341656,공원
130,롯데호텔제주풍차공원,33.246676,126.410666,공원
131,거린오름,33.299569,126.328097,공원
132,당오름,33.327974,126.332184,공원
133,남송이오름,33.307434,126.303937,공원
134,카멜리아힐(동백언덕),33.289687,126.369057,공원
135,신산공원,33.505166,126.532588,공원
136,아열대식물원,33.389666,126.238103,공원
137,선녀와나무꾼테마공원,33.479422,126.702936,공원
138,서귀미로공원,33.246936,126.51247,공원
139,혼인지마을체육공원,33.393642,126.898246,공원
140,상효원식물원,33.306122,126.584925,공원
141,향기정원,33.269718,126.606486,공원
142,문화공원,33.250585,126.507995,공원
143,열린쉼터,33.245246,126.599488,공원
144,싱계물공원,33.343153,126.174022,공원
145,정모시쉼터,33.246628,126.571815,공원
146,휴애리자연생활공원,33.308323,126.634708,공원
147,영모공원,33.428338,126.330157,공원
148,어린이공원,33.500558,126.534012,공원
149,향군공원,33.257461,126.576552,공원
150,다스름테마파크,33.32634,126.259665,공원
151,제2어린이공원,33.51759,126.576108,공원
152,어린이공원,33.491409,126.498878,공원
153,연동근린공원,33.482293,126.489117,공원
154,칠십리시공원,33.247403,126.553229,공원
155,중앙공원,33.250203,126.563591,공원
156,아열대식물원,33.272001,126.608686,공원
157,43호어린이공원,33.50015,126.547399,공원
158,하늘아래수목원,33.285432,126.532742,공원
159,솜반천,33.253594,126.553541,공원
160,대천동도순소공원,33.251335,126.478448,공원
161,예래동도시숲,33.236493,126.374957,공원
162,쇼나조각공원,33.240044,126.429065,공원
163,중문미로공원,33.250817,126.414066,공원
164,초록동산,33.408641,126.897271,공원
165,제주시생활체육공원,33.473513,126.636854,공원
166,망동산공원,33.521406,126.564534,공원
167,사라봉공원,33.518465,126.556673,공원
168,종달고망난돌쉼터,33.510196,126.906742,공원
169,파평윤씨공원,33.519763,126.95605,공원
170,한원리소공원,33.337954,126.196395,공원
171,근린공원,33.249841,126.321837,공원
172,제원어린이공원,33.487367,126.486367,공원
173,하모체육공원,33.218818,126.252431,공원
174,녹남못꽃동산,33.219318,126.269704,공원
175,제주오름공원,33.485876,126.512352,공원
176,환상숲,33.322557,126.26324,공원
177,기적의공원,33.480243,126.482542,공원
178,설문대할망테마공원,33.362695,126.835427,공원
179,제주승마공원,33.405508,126.406638,공원
180,44호어린이공원,33.50404,126.464806,공원
181,감산마을체육공원,33.258107,126.354159,공원
182,월림리소공원,33.347946,126.256328,공원
183,올레길쉼터,33.321798,126.777983,공원
184,가시리체육공원,33.353262,126.774845,공원
185,청수소공원,33.311366,126.247129,공원
186,청수곶자왈,33.305475,126.262153,공원
187,애월근린공원,33.463626,126.332968,공원
188,바르게동산,33.549216,126.81375,공원
189,올레길쉼터,33.307801,126.818342,공원
190,테마쉼터,33.452744,126.341993,공원
191,녹차미로공원,33.292829,126.421052,공원
192,산이물공원,33.221051,126.246881,공원
193,50호어린이공원,33.489758,126.476305,공원
194,49호어린이공원,33.492208,126.475318,공원
195,51호어린이공원,33.489084,126.481267,공원
196,52호어린이공원,33.488467,126.477755,공원
197,98호어린이공원,33.487925,126.47448,공원
198,11호어린이공원,33.486734,126.484005,공원
199,12호어린이공원,33.482876,126.482605,공원
200,노형공원,33.480276,126.482717,공원
201,아름다운돌공원,33.433477,126.705899,공원
202,22호어린이공원,33.520048,126.580033,공원
203,30호어린이공원,33.524081,126.58177,공원
204,24호어린이공원,33.52579,126.590407,공원
205,82호어린이공원,33.51964,126.567697,공원
206,제주1호행복놀이터,33.493167,126.529488,공원
207,도련1동체육공원,33.5057,126.58847,공원
208,근린공원,33.474,126.904906,공원
209,노루생태관찰원,33.480128,126.619756,공원
210,이도2지구근린공원,33.496225,126.544687,공원
211,이도2지구어린이공원,33.493567,126.543999,공원
212,이도2지구어린이공원,33.489659,126.53395,공원
213,낙천의자공원,33.327622,126.226156,공원
214,탑동광장,33.518056,126.526288,공원
215,회을공원,33.168732,126.270918,공원
216,색달마을체육공원,33.265107,126.414228,공원
217,다락쉼터,33.470358,126.340692,공원
218,근린공원,33.539239,126.673712,공원
219,근린공원,33.490584,126.530026,공원
220,봉글래쉼터,33.966161,126.288248,공원
221,장작평사와친수공원,33.940581,126.323883,공원
222,영흥쉼터,33.957762,126.301485,공원
223,곶자왈도립공원,33.283503,126.273715,공원
224,조랑말체험공원,33.383283,126.736435,공원
225,벌내물공원,33.343028,126.174897,공원
226,해거름마을공원,33.370234,126.206494,공원
227,노형제2근린공원,33.4893,126.471506,공원
228,한림수족관,33.411164,126.265475,공원
229,제주돌마을공원,33.35422,126.253765,공원
230,조천만세동산,33.539922,126.641815,공원
231,걸매생활체육공원축구장,33.249803,126.553891,공원
232,미래1공원,33.259051,126.51292,공원
233,문화1공원,33.259734,126.508695,공원
234,미래2공원,33.257251,126.511545,공원
235,문화2공원,33.257593,126.508283,공원
236,올림픽동산,33.330049,126.836815,공원
237,신흥리소공원,33.306175,126.768297,공원
238,서귀포해양도립공원,33.240012,126.557954,공원
239,토평마을소공원,33.267027,126.58985,공원
240,무릉2리소공원,33.272462,126.245255,공원
241,성산일출해양도립공원,33.461919,126.935579,공원
242,제주농업생태원,33.287691,126.608348,공원
243,아름다운동화공원,33.250377,126.507858,공원
244,새마을소공원,33.241752,126.443701,공원
245,최남단체험테마공원,33.290059,126.693203,공원
246,수망리물영아리농산물판매장쉼터,33.361176,126.691727,공원
247,신풍레포츠공원,33.379109,126.816153,공원
248,사계리해안체육공원,33.221402,126.295065,공원
249,스모르공원,33.24132,126.527181,공원
250,왕빛나무쉼터,33.349544,126.698514,공원
251,올레꾼무인쉼터,33.447328,126.902994,공원
252,오조풍낭쉼터,33.461502,126.915005,공원
253,방문자쉼터,33.390666,126.801017,공원
254,제19호어린이공원,33.506474,126.543199,공원
255,모구리쉼터,33.374194,126.852138,공원
256,공천포쉼터,33.265219,126.640996,공원
257,어린이공원,33.502333,126.544912,공원
258,탐라신화공원,33.463323,126.709673,공원
259,56호어린이공원,33.508925,126.58502,공원
260,새미은총의동산,33.34813,126.323022,공원
261,IUCN기념숲,33.310118,126.345371,공원
262,제주비블리아성서식물원,33.356162,126.275076,공원
263,제주도관광식물원,33.252417,126.414441,공원
264,분재예술원(구),33.325573,126.255053,공원
265,베두리오름,33.491767,126.491429,공원
266,걸매생활공원,33.249828,126.554691,공원
267,일도공원,33.503908,126.548161,공원
268,삼달리공원,33.387434,126.825502,공원
269,4점3평화공원,33.45149,126.619469,공원
270,어린이교통공원,33.45144,126.623206,공원
271,체육공원,33.470115,126.774655,공원
272,제주롯데호텔풍차공원,33.246676,126.410666,공원
273,남소로기오름,33.307434,126.303937,공원
274,카멜리아힐동백언덕,33.289687,126.369057,공원
275,선녀와나무꾼공원,33.479422,126.702936,공원
276,미로공원,33.246936,126.51247,공원
277,혼인지체육공원,33.393642,126.898246,공원
278,휴애리자연생태공원,33.308323,126.634708,공원
279,연동공원,33.482293,126.489117,공원
280,제주생활체육공원,33.473513,126.636854,공원
281,한원리공원,33.337954,126.196395,공원
282,제원공원,33.487367,126.486367,공원
283,하모공원,33.218818,126.252431,공원
284,오름공원,33.485876,126.512352,공원
285,설문대할망공원,33.362695,126.835427,공원
286,22호공원,33.520048,126.580033,공원
287,30호공원,33.524081,126.58177,공원
288,24호공원,33.52579,126.590407,공원
289,82호공원,33.51964,126.567697,공원
290,이도2지구공원,33.496225,126.544687,공원
291,미래일공원,33.259051,126.51292,공원
292,문화일공원,33.259734,126.508695,공원
293,미래이공원,33.257251,126.511545,공원
294,문화이공원,33.257593,126.508283,공원
295,신흥리공원,33.306175,126.768297,공원
296,서귀포도립공원,33.240012,126.557954,공원
297,토평마을공원,33.267027,126.58985,공원
298,무릉이리소공원,33.272462,126.245255,공원
299,성산일출해양공원,33.461919,126.935579,공원
300,최남단테마공원,33.290059,126.693203,공원
301,신풍공원,33.379109,126.816153,공원
302,사계리해안공원,33.221402,126.295065,공원
303,제십구호어린이공원,33.506474,126.543199,공원
304,탐라신들의고향,33.463323,126.709673,공원
305,비블리아성서식물원,33.356162,126.275076,공원
306,제주관광식물원,33.252417,126.414441,공원
307,제주43평화공원,33.45149,126.619469,공원
308,어린이공원,33.45144,126.623206,공원
309,호텔롯데제주풍차공원,33.246676,126.410666,공원
310,동백언덕,33.289687,126.369057,공원
311,혼인지공원,33.393642,126.898246,공원
312,돌미로공원,33.362695,126.835427,공원
313,서귀포해양공원,33.240012,126.557954,공원
314,무릉2리공원,33.272462,126.245255,공원
315,최남단체험공원,33.290059,126.693203,공원
316,사계리체육공원,33.221402,126.295065,공원
317,성서식물원,33.356162,126.275076,공원
318,여미지식물원,33.252417,126.414441,공원
319,풍차공원,33.246676,126.410666,공원
320,최남단공원,33.290059,126.693203,공원
321,사계리공원,33.221402,126.295065,공원
322,제주환상자전거길 1구간,33.49312616,126.430951,자전거도로
323,제주환상자전거길 2구간,33.42301896,126.2662602,자전거도로
324,제주환상자전거길 3구간,33.26557276,126.1865283,자전거도로
325,제주환상자전거길 8구간,33.52666307,126.8565032,자전거도로
326,제주환상자전거길 5구간,33.24445045,126.5822737,자전거도로
327,제주환상자전거길 4구간,33.25875789,126.4104966,자전거도로
328,제주환상자전거길 6구간,33.28438534,126.7294541,자전거도로
329,제주환상자전거길 7구간,33.39081412,126.8986877,자전거도로
330,제주환상자전거길 10구간,33.52462753,126.590749,자전거도로
331,제주환상자전거길 9구간,33.55269228,126.7236243,자전거도로
332,남녕고등학교,33.4895105,126.4829556,학교
333,남주고등학교,33.2758014,126.5645388,학교
334,대기고등학교,33.4934821,126.5934828,학교
335,대정고등학교,33.2319091,126.2605751,학교
336,대정여자고등학교,33.229359,126.2528811,학교
337,삼성여자고등학교,33.2546264,126.5841957,학교
338,서귀포고등학교,33.2572636,126.5624598,학교
339,서귀포산업과학고등학교,33.2977336,126.5958589,학교
340,서귀포여자고등학교,33.2435988,126.5315375,학교
341,성산고등학교,33.4698557,126.9154612,학교
342,세화고등학교,33.515853,126.8626392,학교
343,신성여자고등학교,33.478154,126.5635897,학교
344,애월고등학교,33.4605073,126.3337148,학교
345,영주고등학교,33.4564168,126.578891,학교
346,오현고등학교,33.5164877,126.556849,학교
347,제주고등학교,33.4727241,126.4825858,학교
348,제주과학고등학교,33.4246038,126.5270026,학교
349,제주대학교사범대학부설고등학교,33.5143007,126.5093714,학교
350,제주여자고등학교,33.4828574,126.5407326,학교
351,제주여자상업고등학교,33.5148014,126.5362992,학교
352,제주외국어고등학교,33.4335899,126.4256102,학교
353,제주제일고등학교,33.4801429,126.4792644,학교
354,제주제일고등학교부설방송통신고등학교,33.4801429,126.4792644,학교
355,제주중앙고등학교,33.4745005,126.5722434,학교
356,제주중앙여자고등학교,33.4906548,126.5396219,학교
357,중문고등학교,33.2542124,126.4472706,학교
358,표선고등학교,33.3305696,126.8276354,학교
359,한국뷰티고등학교,33.3000972,126.1815066,학교
360,한림고등학교,33.3985293,126.2572588,학교
361,한림공업고등학교,33.4072315,126.2688349,학교
362,함덕고등학교,33.5442059,126.6520501,학교
363,(구)구판장,33.329675,126.798051,정류장
364,(구)삼양검문소,33.521022,126.600034,정류장
365,(구)중앙파출소,33.247598,126.560894,정류장
366,4.3 평화공원,33.451192,126.62162,정류장
367,4.3 평화공원 입구,33.453117,126.620093,정류장
368,6호광장,33.510988,126.549231,정류장
369,911의원,33.540685,126.678082,정류장
370,GM빌라,33.466633,126.520817,정류장
371,LH 1 2단지,33.25002,126.522626,정류장
372,LH아파트,33.247249,126.522811,정류장
373,L마트,33.2643,126.560033,정류장
374,NLCS 제주,33.296438,126.285163,정류장
375,S중앙병원,33.492851,126.471671,정류장
376,가마초등학교,33.306706,126.799619,정류장
377,가물개공원,33.524662,126.584656,정류장
378,가시나물,33.471095,126.570138,정류장
379,가시농협,33.352633,126.771467,정류장
380,가시리동상동,33.353517,126.773883,정류장
381,가시리동하동,33.350253,126.773913,정류장
382,가시리사무소,33.353033,126.771517,정류장
383,가시리체육공원,33.352355,126.774914,정류장
384,가시리취락구조,33.36135,126.766867,정류장
385,가원,33.498659,126.562902,정류장
386,가흥동,33.307117,126.80675,정류장
387,각시물,33.324894,126.259085,정류장
388,갈왓,33.493317,126.456233,정류장
389,감귤단지,33.301263,126.609183,정류장
390,감귤작목반입구,33.534098,126.684592,정류장
391,감산리,33.260072,126.35693,정류장
392,감산리서동,33.257014,126.350451,정류장
393,감산입구,33.260633,126.362137,정류장
394,강구리,33.408883,126.277133,정류장
395,강다리,33.405783,126.888953,정류장
396,강정농협,33.236033,126.478267,정류장
397,강정천,33.234017,126.4876,정류장
398,강정초등학교,33.235638,126.480102,정류장
399,강창학종합경기장,33.261775,126.501463,정류장
400,개법사,33.404422,126.338236,정류장
401,개보슬사거리,33.504554,126.664963,정류장
402,거로 남쪽 입구,33.504933,126.5613,정류장
403,거로 사거리,33.506888,126.556997,정류장
404,거로 입구,33.514533,126.556533,정류장
405,거로복지회관,33.50859,126.560802,정류장
406,거로입구,33.504933,126.562263,정류장
407,거린사슴전망대,33.3076,126.454983,정류장
408,거문머들,33.256996,126.534199,정류장
409,거문오름입구,33.451575,126.7101,정류장
410,거물여,33.332267,126.8005,정류장
411,검은여입구,33.248192,126.582877,정류장
412,게이트볼장,33.494917,126.519867,정류장
413,견월교,33.424007,126.608145,정류장
414,경제통상진흥원,33.498867,126.540467,정류장
415,경흥농원,33.323016,126.738211,정류장
416,계룡동,33.53444,126.833376,정류장
417,계명동,33.485932,126.426621,정류장
418,계명동 입구,33.488031,126.426654,정류장
419,계원동,33.41005,126.333833,정류장
420,고갠드르,33.254725,126.524193,정류장
421,고근산,33.260334,126.513731,정류장
422,고내리,33.46315,126.3389,정류장
423,고내리 애월 119센터,33.466318,126.349553,정류장
424,고도농원,33.28763,126.593339,정류장
425,고래왓,33.247942,126.514688,정류장
426,고림동,33.374151,126.284755,정류장
427,고망난돌입구,33.353095,126.858679,정류장
428,고산,33.303075,126.179421,정류장
429,고산1리 육거리,33.300926,126.179185,정류장
430,고산1리(구 출장소),33.306567,126.17855,정류장
431,고산2리 전답동,33.29505,126.203967,정류장
432,고산농산물유통센터,33.298452,126.191773,정류장
433,고산우체국앞,33.3038,126.1796,정류장
434,고산환승정류장(고산1리 고산성당 앞),33.300904,126.180432,정류장
435,고산환승정류장(고산1리),33.300733,126.180436,정류장
436,고상동,33.508593,126.673213,정류장
437,고성1리,33.457844,126.412857,정류장
438,고성1리사무소,33.458453,126.415173,정류장
439,고성2리,33.436945,126.424032,정류장
440,고성리 구 성산농협,33.44798,126.914964,정류장
441,고성리 성산농협,33.446115,126.912608,정류장
442,고성리 장만이동산,33.44555,126.900477,정류장
443,고성리노인회관,33.446755,126.908654,정류장
444,고성리제주은행,33.448681,126.916004,정류장
445,고성오일시장,33.4523,126.914133,정류장
446,고성환승정류장(고성리 한국물류),33.44744,126.913789,정류장
447,고성환승정류장(고성리 회전교차로),33.447279,126.913783,정류장
448,고수동입구,33.322112,126.757056,정류장
449,고으니모르 국립제주박물관,33.51261,126.550965,정류장
450,고장낭밭,33.274484,126.600029,정류장
451,고평동,33.47445,126.6566,정류장
452,고향모루,33.236383,126.498517,정류장
453,골물동입구,33.250957,126.333971,정류장
454,공동묘지,33.511117,126.65485,정류장
455,공물,33.240433,126.516294,정류장
456,공업단지 입구,33.28351,126.590301,정류장
457,공천포,33.26545,126.640167,정류장
458,공항초소,33.513595,126.484484,정류장
459,곽지모우물,33.453189,126.308755,정류장
460,곽지해수욕장,33.448426,126.307463,정류장
461,관광단지 입구,33.256393,126.414612,정류장
462,관덕정,33.513216,126.520875,정류장
463,관동산,33.506634,126.635691,정류장
464,관음사,33.426421,126.557867,정류장
465,관음사 탐방로입구,33.422453,126.549773,정류장
466,관전동,33.488832,126.41909,정류장
467,관통사,33.326778,126.827252,정류장
468,광대왓,33.248094,126.515928,정류장
469,광령1리사무소,33.460992,126.439763,정류장
470,광령2리 사무소,33.449324,126.429122,정류장
471,광령2리입구,33.459291,126.430598,정류장
472,광령3리,33.458751,126.424448,정류장
473,광령3리사무소,33.463913,126.423271,정류장
474,광령저수지,33.472487,126.426475,정류장
475,광령초등학교,33.460705,126.436436,정류장
476,광석동,33.474455,126.408884,정류장
477,광양,33.502112,126.527961,정류장
478,광양/시민회관방면,33.502324,126.528058,정류장
479,광양사거리/터미널방면,33.500473,126.527103,정류장
480,광지동,33.276415,126.708677,정류장
481,광치기해변,33.451425,126.923367,정류장
482,광평,33.48397,126.468082,정류장
483,광평고치동산,33.483605,126.463729,정류장
484,광평교차로,33.330588,126.355009,정류장
485,광평동로,33.4823,126.470383,정류장
486,광평동로 노형성당,33.482075,126.470419,정류장
487,광평리,33.3293,126.381983,정류장
488,광평마을,33.479499,126.465042,정류장
489,교래리,33.424633,126.675683,정류장
490,교래보건진료소,33.436649,126.676689,정류장
491,교래분교,33.436408,126.679403,정류장
492,교래사거리,33.43325,126.671783,정류장
493,교래입구,33.41938,126.616785,정류장
494,교래자연 휴양림,33.44309,126.666286,정류장
495,구 삼일금고,33.249624,126.561632,정류장
496,구 시장터,33.435183,126.325033,정류장
497,구 오일시장,33.435312,126.324892,정류장
498,구 터미널,33.252018,126.560159,정류장
499,구 한경의원 앞,33.344071,126.182681,정류장
500,구몰리동,33.424733,126.315617,정류장
501,구산마을,33.483292,126.538007,정류장
502,구산마을입구,33.483907,126.536389,정류장
503,구억리,33.272375,126.278902,정류장
504,구억리 옹기체험관,33.274067,126.278685,정류장
505,구억리삼거리,33.272783,126.2794,정류장
506,구억리상동,33.278917,126.2835,정류장
507,구엄리,33.474356,126.37637,정류장
508,구좌보건지소,33.520105,126.859686,정류장
509,구좌중앙초등학교,33.551176,126.798999,정류장
510,국립기상과학원,33.258029,126.517888,정류장
511,국립제주박물관,33.512475,126.549973,정류장
512,국민건강보험공단,33.2544,126.507,정류장
513,국세공무원 교육원생활관,33.255561,126.519443,정류장
514,국토교통부 인재개발원,33.251908,126.515233,정류장
515,국학원,33.3889,126.373682,정류장
516,군모루,33.29222,126.722367,정류장
517,굴집터,33.400062,126.863076,정류장
518,굿밭거리,33.257462,126.525055,정류장
519,귀덕1리 신서동,33.42905,126.2902,정류장
520,귀덕1리신서동,33.428117,126.289033,정류장
521,귀덕2리,33.438128,126.280415,정류장
522,귀덕새마을금고,33.43974,126.282361,정류장
523,귀덕초등학교,33.441783,126.2948,정류장
524,귀일중학교,33.481209,126.405123,정류장
525,그랜드 조선 제주,33.250366,126.40992,정류장
526,그린카센터,33.316983,126.828567,정류장
527,극락사,33.456338,126.406772,정류장
528,근로복지공단,33.499833,126.544359,정류장
529,금능 블루하와이,33.381667,126.219545,정류장
530,금능농공단지,33.358994,126.243459,정류장
531,금능농공단지입구,33.362659,126.247375,정류장
532,금능리,33.387222,126.232339,정류장
533,금능석물원,33.386041,126.226282,정류장
534,금능해수욕장,33.389465,126.235648,정류장
535,금등리마을,33.361113,126.191272,정류장
536,금붕사,33.50048,126.890629,정류장
537,금빛신협,33.44655,126.3058,정류장
538,금산,33.495062,126.679968,정류장
539,금산목,33.553649,126.80527,정류장
540,금성리,33.4445,126.301433,정류장
541,금악동물병원,33.36053,126.297861,정류장
542,금악리,33.357633,126.294916,정류장
543,금악보건진료소,33.358869,126.296506,정류장
544,금악입구,33.330689,126.354144,정류장
545,금악홀못길 입구,33.366583,126.287133,정류장
546,김녕리,33.554368,126.747119,정류장
547,김녕미로공원,33.536037,126.772493,정류장
548,김녕해수욕장,33.555819,126.760293,정류장
549,김녕환승정류장(김녕초등학교),33.5549,126.751267,정류장
550,김만덕객주(시티투어),33.517155,126.532715,정류장
551,김영갑갤러리두모악,33.37202,126.856839,정류장
552,꽃동산,33.279425,126.588645,정류장
553,낙선동,33.514538,126.693409,정류장
554,낙천리,33.32606,126.227158,정류장
555,난산 동 동네,33.40216,126.875652,정류장
556,난산 앞 동산,33.401553,126.874625,정류장
557,난산리 노인복지회관,33.400978,126.874027,정류장
558,난산리사무소,33.40141,126.870708,정류장
559,난산입구,33.385831,126.880538,정류장
560,난산입구(성산기상대),33.386021,126.881731,정류장
561,남광로입구,33.492517,126.537467,정류장
562,남광초등학교,33.492928,126.537677,정류장
563,남국사,33.460496,126.54979,정류장
564,남군농협,33.2482,126.565,정류장
565,남녕고등학교,33.488046,126.483112,정류장
566,남녕마트,33.489933,126.48185,정류장
567,남문,33.252574,126.524342,정류장
568,남문동,33.396549,126.263489,정류장
569,남서광마을,33.499789,126.523759,정류장
570,남서광마을입구,33.499683,126.521267,정류장
571,남성마을,33.242625,126.554173,정류장
572,남성마을입구,33.247952,126.552236,정류장
573,남양맨션,33.255917,126.567905,정류장
574,남원2리,33.295103,126.707873,정류장
575,남원2리 복지회관,33.293224,126.709967,정류장
576,남원농협 신흥지소,33.302351,126.766958,정류장
577,남원리 월산동,33.291613,126.710687,정류장
578,남원생활체육관,33.275718,126.706344,정류장
